指标,数量
近3个月需要年审(待办),149
其中已逾期,20
已年审(已完成),141
完成比例%,48.62
计算公式,141 / (141+149) = 48.62%

【待办按检验到期月】
月份,车辆数
2026-03,2
2026-04,1
2026-05,2
2026-06,15
2026-07,79
2026-08,8
2026-09,42

【已完成按办理时间月】
月份,车辆数
2026-06,110
2026-07,31

【待办明细】
车牌号,品牌,型号,运营状态,检验到期日,剩余天数,区域,状态
沪A62928F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-02 23:15:23,92,江苏省-南京市,已完成
粤AGP5621,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-02 22:15:28,363,重庆市-九龙坡区,已完成
粤AGP5363,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-02 22:13:23,363,四川省-成都市,已完成
粤AGP4538,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-07-02 22:07:18,363,四川省-成都市,已完成
粤AGP3631,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-02 22:05:02,363,四川省-成都市,已完成
粤AGP3509,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-07-02 21:57:48,363,四川省-成都市,已完成
粤AGP3505,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-02 21:55:24,363,重庆市-渝北区,已完成
粤AGP3082,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-02 21:53:15,363,重庆市-九龙坡区,已完成
粤AGP3071,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-02 21:41:51,363,四川省-成都市,已完成
粤AGP2032,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-02 21:39:54,363,四川省-成都市,已完成
粤AGP5617,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-30 15:11:52,365,江苏省-苏州市,已完成
粤AGP5165,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-30 15:11:24,365,广东省-广州市,已完成
粤AGP4522,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-30 15:10:38,365,浙江省-嘉兴市,已完成
粤AGP3649,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-30 15:10:03,365,广东省-广州市,已完成
粤AGP3612,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-30 15:09:28,365,浙江省-嘉兴市,已完成
粤AGP9346,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-30 15:07:41,365,浙江省-嘉兴市,已完成
粤AGP3079,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-29 15:54:51,366,浙江省-嘉兴市,已完成
粤AGP9351,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-06-28 10:11:11,367,广东省-广州市,已完成
粤AGP9347,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-28 10:10:18,367,广东省-深圳市,已完成
沪A01933F,宇通,49吨牵引车头,租赁,2027-06-30,2026-06-28 09:57:19,367,湖北省-武汉市,已完成
粤AGP4502,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:52:42,369,广东省-广州市,已完成
粤AGP7022,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:49:12,369,广东省-佛山市,已完成
粤AGP9703,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:48:26,369,广东省-广州市,已完成
粤AGP9751,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:46:28,369,广东省-深圳市,已完成
粤AGP9817,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:44:59,369,广东省-佛山市,已完成
粤AGP9721,现代,帕力安牌4.5吨冷链车,自营,2027-06-30,2026-06-26 22:43:41,369,广东省-广州市,已完成
粤AGP3667,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:42:26,369,广东省-佛山市,已完成
粤AGP5760,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:41:09,369,广东省-广州市,已完成
